id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
545	Tall in the Saddle	1944	APPROVED	29 Sep 1944	87 min	Mystery, Western, Romance	Edwin L. Marin	Michael Hogan (screenplay), Paul Fix (screenplay), Gordon Ray Young (original story)	John Wayne, Ella Raines, Ward Bond, George 'Gabby' Hayes	When a stranger arrives in a western town he finds that the rancher who sent for him has been murdered. Further, most of the townsfolk seem to be at each other's throats, and the newcomer has soon run contrariwise to most of them.	English	USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTg2MTMwODI4Ml5BMl5BanBnXkFtZTcwNDk5Nzc0MQ@@._V1_SX300.jpg	N/A	7.1	1772	tt0037343	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70	3.4	3646	03 May 2005	N/A	Warner Home Video	N/A
546	Tamara Drewe	2010	R	10 Sep 2010	107 min	Comedy, Drama, Romance	Stephen Frears	Moira Buffini (screenplay), Posy Simmonds (graphic novel)	Gemma Arterton, Roger Allam, Bill Camp, Dominic Cooper	Once the ugly duckling in the Dorset village of Ewedown, Tamara Drewe returns to sell her late mother's house, now a glamorous journalist with a life-changing nose job. She awakens feelings in sexy old flame, Andy, the decent odd job man at pretentious author Nicholas Hardiment's writers' school and in Nicholas himself, a serial philanderer who cheats on his loyal wife Beth. But Tamara has a new man in her life, Ben, an obnoxious rock drummer whose marriage proposal she accepts, to the dismay of local girl - and Ben's biggest fan - Jody. Jody's efforts to sabotage the engagement lead to Tamara, on the rebound and finding Andy in the arms of another, allowing Nicholas to have his wicked way with her, and also allowing it to be photographed and sent to a distraught Beth. Beth's secret admirer, American writer Glen, confronts Nicholas out in the fields, but Ben's dog Boss has got loose and has caused a local farmer's cattle to stampede towards them, an event which will shape the futures of everybody.	English	UK	4 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAyOTIyMjI0Nl5BMl5BanBnXkFtZTcwMzcyODE3Mw@@._V1_SX300.jpg	64	6.2	15409	tt1486190	66	fresh	6.3	119	79	40	N/A	42	3.1	9251	08 Feb 2011	$0.6M	Sony Pictures Classics	http://www.sonyclassics.com/tamaradrewe/
547	Taxi Driver	1976	R	08 Feb 1976	113 min	Crime, Drama	Martin Scorsese	Paul Schrader	Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito	Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.	English, Spanish	USA	Nominated for 4 Oscars. Another 27 wins & 9 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1_SX300.jpg	93	8.4	421754	tt0075314	98	certified	9	63	62	1	A must-see film for movie lovers, this Martin Scorsese masterpiece is as hard-hitting as it is compelling, with Robert De Niro at his best.	94	4.1	253800	15 Jun 1999	N/A	Sony	N/A
548	Terminator 2: Judgment Day	1991	R	03 Jul 1991	137 min	Action, Sci-Fi	James Cameron	James Cameron, William Wisher Jr.	Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick	Almost 10 years have passed since the first cyborg called The Terminator tried to kill Sarah Connor and her unborn son, John Connor. John Connor, the future leader of the human resistance, is now a healthy young boy. However another Terminator is sent back through time called the T-1000, which is more advanced and more powerful than its predecessor. The Mission: to kill John Connor when he's still a child. However, Sarah and John do not have to face this threat of a Terminator alone. Another Terminator is also sent back through time. The mission: to protect John and Sarah Connor at all costs. The battle for tomorrow has begun...	English, Spanish	USA, France	Won 4 Oscars. Another 20 wins & 21 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMDU5NF5BMl5BanBnXkFtZTcwMjk2MDA4Mg@@._V1_SX300.jpg	68	8.5	620794	tt0103064	92	certified	8.3	62	57	5	T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.	94	3.7	743053	31 Mar 1998	N/A	TriStar Pictures	N/A
549	Terminator	2001	N/A	01 Apr 2001	N/A	Short, Action	Ryan McDonald	Ryan McDonald	Joshua Miller	N/A	English	USA	N/A	N/A	N/A	3.8	12	tt1994570	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
550	Thelma & Louise	1991	R	24 May 1991	130 min	Adventure, Crime, Drama	Ridley Scott	Callie Khouri	Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen	Louise is working in a diner as a waitress and has some problems with her boyfriend Jimmy, who, as a musician, is always on the road. Thelma is married to Darryl who likes his wife to stay quiet in the kitchen so that he can watch football on TV. One day they decide to break out of their normal life and jump in the car and hit the road. Their journey, however, turns into a flight when Louise kills a man who threatens to rape Thelma. They decide to go to Mexico, but soon they are hunted by American police.	English	USA, France	Won 1 Oscar. Another 21 wins & 30 nominations.	http://ia.media-imdb.com/images/M/MV5BMjIxNDgzMDE2MF5BMl5BanBnXkFtZTcwNzY5NTk1NA@@._V1_SX300.jpg	88	7.4	89065	tt0103074	83	certified	7.8	65	54	11	Simultaneously funny, heartbreaking, and peppered with action, Ridley Scott's Thelma & Louise is a potent, well-acted road movie that transcends the feminist message at its core.	82	3.4	168641	04 Feb 2003	N/A	MGM	N/A
551	There's Something About Mary	1998	R	15 Jul 1998	119 min	Comedy, Romance	Bobby Farrelly, Peter Farrelly	Ed Decter (story), John J. Strauss (story), Ed Decter (screenplay), John J. Strauss (screenplay), Peter Farrelly (screenplay), Bobby Farrelly (screenplay)	Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans	Ted was a geek in high school, who was going to go to the prom with one of the most popular girls in school, Mary. The prom date never happened, because Ted had a very unusual accident. Thirteen years later he realizes he is still in love with Mary, so he hires a private investigator to track her down. That investigator discovers he too may be in love with Mary, so he gives Ted some false information to keep him away from her. But soon Ted finds himself back into Mary's life, as we watch one funny scene after another.	English	USA	Nominated for 2 Golden Globes. Another 18 wins & 13 nominations.	http://ia.media-imdb.com/images/M/MV5BMTAzNzM3NTM4NDNeQTJeQWpwZ15BbWU4MDgzOTgzMTAx._V1_SX300.jpg	69	7.1	226153	tt0129387	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	3.2	1071	03 May 2005	N/A	First Look Pictures	N/A
552	The Thing	1982	R	25 Jun 1982	109 min	Horror, Sci-Fi	John Carpenter	Bill Lancaster (screenplay), John W. Campbell Jr. (story)	Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon	An American scientific expedition to the frozen wastes of the Antarctic is interrupted by a group of seemingly mad Norwegians pursuing and shooting a dog. The helicopter pursuing the dog explodes, eventually leaving no explanation for the chase. During the night, the dog mutates and attacks other dogs in the cage and members of the team that investigate. The team soon realizes that an alien life-form with the ability to take over other bodies is on the loose and they don't know who may already have been taken over.	English, Norwegian	USA	3 nominations.	http://ia.media-imdb.com/images/M/MV5BMjE1OTIzMjUxNV5BMl5BanBnXkFtZTgwOTUwNzMxMDE@._V1_SX300.jpg	N/A	8.2	218232	tt0084787	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11	3.5	195	N/A	N/A	N/A	N/A
553	Thirteen Days	2000	PG-13	12 Jan 2001	145 min	Drama, History, Thriller	Roger Donaldson	David Self, Ernest R. May (book), Philip D. Zelikow (book)	Shawn Driscoll, Kevin Costner, Drake Cook, Lucinda Jenney	In October, 1962, U-2 surveillance photos reveal that the Soviet Union is in the process of placing nuclear weapons in Cuba. These weapons have the capability of wiping out most of the Eastern and Southern United States in minutes if they become operational. President John F. Kennedy and his advisors must come up with a plan of action against the Soviets. Kennedy is determined to show that he is strong enough to stand up to the threat, and the Pentagon advises U.S. military strikes against Cuba--which could lead the way to another U.S. invasion of the island. However, Kennedy is reluctant to follow through, because a U.S. invasion could cause the Soviets to retaliate in Europe. A nuclear showdown appears to be almost inevitable. Can it be prevented?	English, Russian, Spanish, Romanian	USA	3 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTkwMTkxNTYyM15BMl5BanBnXkFtZTYwOTc5NTk2._V1_SX300.jpg	67	7.3	42335	tt0146309	83	certified	7.2	118	98	20	Thirteen Days offers a compelling look at the Cuban Missile Crisis, and its talented cast deftly portrays the real-life people who were involved.	80	3.4	29671	10 Jul 2001	$33.1M	New Line Cinema	http://www.thirteen-days.com
554	This Boy's Life	1993	R	23 Apr 1993	115 min	Biography, Drama	Michael Caton-Jones	Tobias Wolff (book), Robert Getchell (screenplay)	Robert De Niro, Ellen Barkin, Leonardo DiCaprio, Jonah Blechman	In 1957, a son and mother flee the East and an abusive boyfriend to find a new life, and end up in Seattle, where the mother meets a polite garage mechanic. The boy continually gets into trouble by hanging out with the wrong crowd. The mom marries the mechanic, but they soon find out that he's an abusive and unreasoning alcoholic, and they struggle to maintain hope in an impossible situation as the boy grows up with plans to escape the small town by any means possible. Based on a true story by Tobias Wolff.	English	USA	4 wins.	http://ia.media-imdb.com/images/M/MV5BMTgyODM0NTIzOV5BMl5BanBnXkFtZTcwOTQ1MjMyMQ@@._V1_SX300.jpg	60	7.3	30456	tt0108330	75	fresh	6.4	36	27	9	A harrowing, moving drama about a young boy, his single mother, and his abusive stepfather, This Boy's Life benefits from its terrific cast, and features a breakout performance from a young Leonardo DiCaprio.	79	3.6	22453	13 May 2003	N/A	Warner Home Video	N/A
555	Thor	2011	PG-13	06 May 2011	115 min	Action, Adventure, Fantasy	Kenneth Branagh	Ashley Miller (screenplay), Zack Stentz (screenplay), Don Payne (screenplay), J. Michael Straczynski (story), Mark Protosevich (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)	Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins	The warrior Thor (Hemsworth) is cast out of the fantastic realm of Asgard by his father Odin (Hopkins) for his arrogance and sent to Earth to live among humans. Falling in love with scientist Jane Foster (Portman) teaches Thor much-needed lessons, and his new-found strength comes into play as a villain from his homeland sends dark forces toward Earth.	English	USA	5 wins & 28 nominations.	http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg	57	7	433875	tt0800369	77	certified	6.7	264	203	61	A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.	76	3.8	238968	13 Sep 2011	$181.0M	Paramount Pictures	http://thor.marvel.com/
556	Three Kings	1999	R	01 Oct 1999	114 min	Action, Adventure, Comedy	David O. Russell	John Ridley (story), David O. Russell (screenplay)	George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze	A small group of adventurous American soldiers in Iraq at the end of the Gulf War are determined to steal a huge cache of gold reputed to be hidden somewhere near their desert base. Finding a map they believe will take them to the gold, they embark on a journey that leads to unexpected discoveries, enabling them to rise to a heroic challenge that drastically changes their lives.	English, Arabic	USA, Australia	10 wins & 15 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI0ODg0NTA4Ml5BMl5BanBnXkFtZTcwNDEwNTEzMQ@@._V1_SX300.jpg	82	7.2	126248	tt0120188	94	certified	7.8	129	121	8	Three Kings successfully blends elements of action, drama, and comedy into a thoughtful, exciting movie on the Gulf War.	77	3.3	184211	04 Sep 2001	N/A	Warner Bros. Pictures	http://www.three-kings.com
557	Three Kings	1999	R	01 Oct 1999	114 min	Action, Adventure, Comedy	David O. Russell	John Ridley (story), David O. Russell (screenplay)	George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze	A small group of adventurous American soldiers in Iraq at the end of the Gulf War are determined to steal a huge cache of gold reputed to be hidden somewhere near their desert base. Finding a map they believe will take them to the gold, they embark on a journey that leads to unexpected discoveries, enabling them to rise to a heroic challenge that drastically changes their lives.	English, Arabic	USA, Australia	10 wins & 15 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI0ODg0NTA4Ml5BMl5BanBnXkFtZTcwNDEwNTEzMQ@@._V1_SX300.jpg	82	7.2	126248	tt0120188	94	certified	7.8	129	121	8	Three Kings successfully blends elements of action, drama, and comedy into a thoughtful, exciting movie on the Gulf War.	77	3.3	184211	04 Sep 2001	N/A	Warner Bros. Pictures	http://www.three-kings.com
558	3 Men and a Baby	1987	PG	25 Nov 1987	102 min	Comedy, Drama, Family	Leonard Nimoy	Coline Serreau (screenplay), James Orr (screenplay), Jim Cruickshank (screenplay)	Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis	Three bachelor friends - architect Peter, artist Michael, and actor Jack are sharing an apartment in Manhattan. After Jack goes filming in Turkey his two flatmates find his baby daughter - which Jack doesn't know about - left outside their door. The two are left to look after the baby, and realise how difficult this can be. How would this baby change the life style of these confirmed bachelors?	English	USA	2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTUwMDk5MDUxMV5BMl5BanBnXkFtZTYwMTU2MTY5._V1_SX300.jpg	N/A	5.8	33501	tt0094137	74	fresh	5.9	35	26	9	The American remake of the popular French comedy mostly works a charm under the combined talents of the three leads, who play nicely against type -- although forced plot elements and sentimentality at times dampen the fun.	47	2.9	267738	02 Apr 2002	N/A	Disney	N/A
559	Three Musketeers	1999	PG	N/A	145 min	Adventure	John Monteverde	David Richmond	Stephen Alexander, Geoffrey Alm, Lacy Altwine, Tobias Anderson	Young D'Artagnan joins the Three Musketeers and fights for the King's life and the Queen's honor against the treacherous Cardinal Richelieu and his agents: the lethally beautiful Milady Sabine de Winter and the ex-Musketeer Captain Rochefort.	English	USA	N/A	N/A	N/A	6.6	69	tt0230877	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
